
Name                                      Length LastWriteTime         
----                                      ------ -------------         
task-11-cleanup-ports.txt                     20 2026-06-01 오후 9:07:05 
task-11-cleanup-pre-e2e.txt                   66 2026-06-01 오후 8:54:32 
task-11-db-feasibility.txt                   628 2026-06-01 오후 9:08:03 
task-11-db-push.txt                         1012 2026-06-01 오후 8:52:53 
task-11-e2e-db.json                           31 2026-06-01 오후 10:00:36
task-11-e2e-green.txt                       9938 2026-06-01 오후 9:11:36 
task-11-e2e-red.txt                         2286 2026-06-01 오후 8:36:05 
task-11-git-status.txt                      3916 2026-06-01 오후 9:07:03 
task-11-grade-one-absent.png               61835 2026-06-01 오후 9:11:21 
task-11-harness-git-status.txt              1736 2026-06-01 오후 8:50:17 
task-11-harness-red.txt                      346 2026-06-01 오후 8:44:53 
task-11-harness-tsc.txt                        0 2026-06-01 오후 8:50:17 
task-11-install-pglite.txt                   558 2026-06-01 오후 8:51:50 
task-11-next-cache-cleanup.txt                58 2026-06-01 오후 9:12:37 
task-11-pglite-prisma-probe.txt              846 2026-06-01 오후 8:39:09 
task-11-playwright-install-chrome.txt       2694 2026-06-01 오후 8:48:57 
task-11-public-flow.txt                     9938 2026-06-01 오후 9:11:36 
task-11-public-flow-git-status.txt          1736 2026-06-01 오후 8:50:23 
task-11-public-flow-red.txt                   92 2026-06-01 오후 8:39:37 
task-11-public-flow-tsc.txt                11878 2026-06-01 오후 8:50:13 
task-11-public-handoff-regression.txt        900 2026-06-01 오후 9:08:27 
task-11-public-home.png                    58293 2026-06-01 오후 9:11:16 
task-11-public-recommend.png               44089 2026-06-01 오후 9:11:18 
task-11-public-roadmap.png                 48242 2026-06-01 오후 9:11:19 
task-11-public-subject-detail.png          34775 2026-06-01 오후 9:11:22 
task-11-public-subjects.png                61835 2026-06-01 오후 9:11:20 
task-11-remove-pglite.txt                    562 2026-06-01 오후 8:49:58 
task-11-screenshot-check.txt                 310 2026-06-01 오후 9:11:53 
task-11-subjects-regression.txt              814 2026-06-01 오후 9:11:03 
task-11-tsc.txt                                0 2026-06-01 오후 9:13:20 
task-11-upload-publish.png                 58956 2026-06-01 오후 9:11:34 
task-11-upload-publish.txt                  9938 2026-06-01 오후 9:11:36 
task-11-upload-publish-git-status.txt       1516 2026-06-01 오후 8:45:15 
task-11-upload-publish-red.txt                98 2026-06-01 오후 8:39:26 
task-12-build.txt                           2903 2026-06-01 오후 10:02:26
task-12-cleanup-temp.txt                      64 2026-06-01 오후 10:08:42
task-12-command-summary.txt                   11 2026-06-01 오후 9:59:57 
task-12-devserver.err.log                   4959 2026-06-01 오후 9:52:30 
task-12-devserver.out.log                    385 2026-06-01 오후 9:54:23 
task-12-devserver-jsondb.err.log             328 2026-06-01 오후 10:04:46
task-12-devserver-jsondb.out.log             207 2026-06-01 오후 10:04:48
task-12-diff-check.txt                      1208 2026-06-01 오후 9:41:08 
task-12-docs-check.txt                       119 2026-06-01 오후 9:53:10 
task-12-docs-devserver.err.log                 0 2026-06-01 오후 10:04:17
task-12-docs-devserver.out.log               307 2026-06-01 오후 10:08:22
task-12-docs-devserver.pid                     7 2026-06-01 오후 10:04:18
task-12-docs-git-status.txt                 4262 2026-06-01 오후 10:07:58
task-12-docs-green.txt                      1309 2026-06-01 오후 9:54:30 
task-12-docs-http.txt                      70136 2026-06-01 오후 10:08:10
task-12-docs-pin.txt                         948 2026-06-01 오후 9:39:29 
task-12-docs-proxy.pid                         7 2026-06-01 오후 9:59:20 
task-12-docs-red.txt                         476 2026-06-01 오후 9:40:44 
task-12-docs-scripts.txt                    4831 2026-06-01 오후 10:01:36
task-12-e2e.txt                              642 2026-06-01 오후 10:02:28
task-12-e2e-http.txt                        6169 2026-06-01 오후 9:46:54 
task-12-e2e-screenshots.txt                 2881 2026-06-01 오후 9:57:32 
task-12-evidence-check.txt                  2748 2026-06-01 오후 10:00:38
task-12-evidence-http.txt                     76 2026-06-01 오후 10:09:47
task-12-evidence-inventory.txt              6211 2026-06-01 오후 9:41:07 
task-12-evidence-list.txt                   6078 2026-06-01 오후 10:00:39
task-12-evidence-red.txt                    1004 2026-06-01 오후 9:57:32 
task-12-evidence-scan.txt                    755 2026-06-01 오후 9:49:32 
task-12-evidence-status-final.txt           2044 2026-06-01 오후 10:00:40
task-12-evidence-status-pin.txt             1648 2026-06-01 오후 9:57:30 
task-12-forbidden-http.txt                   290 2026-06-01 오후 9:44:10 
task-12-full-status-pin.txt                 2526 2026-06-01 오후 9:50:25 
task-12-grade1-scan.txt                     7220 2026-06-01 오후 9:44:10 
task-12-hardcoding-scan.txt                 2327 2026-06-01 오후 10:01:34
task-12-hardening-cleanup.txt                773 2026-06-01 오후 10:03:48
task-12-hardening-manual.txt                3869 2026-06-01 오후 9:51:07 
task-12-hardening-pin.txt                    405 2026-06-01 오후 9:41:06 
task-12-leak-red.txt                          99 2026-06-01 오후 10:01:35
task-12-lint.txt                            1648 2026-06-01 오후 10:06:34
task-12-lsp.txt                              157 2026-06-01 오후 10:08:57
task-12-orphan-cleanup.txt                   120 2026-06-01 오후 10:07:29
task-12-package-scripts.txt                 1578 2026-06-01 오후 9:49:30 
task-12-port-cleanup.txt                     119 2026-06-01 오후 9:55:35 
task-12-port-cleanup-before-rerun.txt          2 2026-06-01 오후 10:04:54
task-12-protected-route-timeout-green.txt    964 2026-06-01 오후 10:09:12
task-12-protected-route-timeout-pin.txt     1008 2026-06-01 오후 10:00:29
task-12-protected-route-timeout-red.txt      968 2026-06-01 오후 10:00:59
task-12-security-scan.txt                  16478 2026-06-01 오후 9:44:10 
task-12-subjects-debug.txt                  1382 2026-06-01 오후 10:08:55
task-12-test.txt                               0 2026-06-01 오후 10:09:45
task-12-typecheck.txt                        168 2026-06-01 오후 10:09:00
task-12-verification-green.txt               228 2026-06-01 오후 10:02:27
task-12-verification-red.txt               19846 2026-06-01 오후 10:02:29



